name,serving_size,calories,protein,carbohydrate,total_fat
"KELLOGG'S, Blueberry, Waffles, NUTRI-GRAIN, EGGO",100 g,257,6.20 g,43.60 g,7.8g
"Cereals, dry, Whole Wheat Natural Cereal, QUAKER",100 g,333,11.80 g,74.80 g,2g
"OLIVE GARDEN, cheese ravioli with marinara sauce",100 g,159,7.44 g,19.64 g,5.6g
"Alcoholic Beverage, Sangiovese, red, table, wine",100 g,86,0.07 g,2.62 g,0g
McDONALD'S Bacon Ranch Salad with Crispy Chicken,100 g,122,8.82 g,6.08 g,6.3g
"Coffeecake, dry mix, cinnamon with crumb topping",100 g,436,4.80 g,77.70 g,12g
"Coffeecake, creme-filled with chocolate frosting",100 g,331,5.00 g,53.80 g,11g
"Prickly pears, broiled (Northern Plains Indians)",100 g,91,0.39 g,21.57 g,0.3g
"Veal, roasted, cooked, separable lean only, loin",100 g,175,26.32 g,0.00 g,6.9g
"Veal, braised, cooked, separable lean only, loin",100 g,226,33.57 g,0.00 g,9.2g
"Rutabagas, without salt, drained, boiled, cooked",100 g,30,0.93 g,6.84 g,0.2g
"Lambsquarters, steamed (Northern Plains Indians)",100 g,48,4.06 g,7.47 g,0.2g
"Mollusks, moist heat, cooked, unspecified, whelk",100 g,275,47.68 g,15.52 g,0.8g
"Veal, raw, separable lean and fat, arm, shoulder",100 g,132,19.34 g,0.00 g,5.4g
"Fruit juice smoothie, strawberry banana, ODWALLA",100 g,48,0.50 g,11.05 g,0.3g
"Turkey, roasted, cooked, light meat, all classes",100 g,147,30.13 g,0.00 g,2.1g
"DOMINO'S 14"" Pepperoni Pizza, Crunchy Thin Crust",100 g,328,13.88 g,25.35 g,19g
"SUNSHINE, Soup & Oyster Crackers (large), KRISPY",100 g,416,8.60 g,76.10 g,9.3g
"Lamb, raw, seam fat, fresh, imported, Australian",100 g,459,15.65 g,0.00 g,44g
"KELLOGG'S, Original, French Toaster Sticks, EGGO",100 g,239,5.30 g,39.40 g,7g
"Pears, with added sugar, stewed, sulfured, dried",100 g,140,0.86 g,37.14 g,0.3g
"Pear nectar, without added ascorbic acid, canned",100 g,60,0.11 g,15.76 g,0g
"KASHI, Frozen Entree, Sesame Chicken, STEAM MEAL",100 g,110,6.10 g,15.70 g,3.5g
"KELLOGG'S, Cinnamon, French Toaster Sticks, EGGO",100 g,250,4.80 g,42.60 g,6.9g
"Pork sausage rice links, cooked, brown and serve",100 g,407,13.70 g,2.36 g,38g
"Kale, with salt, drained, boiled, cooked, frozen",100 g,30,2.84 g,5.23 g,0.5g
"Kale, with salt, drained, boiled, cooked, scotch",100 g,28,1.90 g,5.62 g,0.4g
"Snacks, without peanuts, caramel-coated, popcorn",100 g,431,3.80 g,79.10 g,13g
"Orange juice, includes from concentrate, chilled",100 g,49,0.68 g,11.54 g,0.1g
"McDONALD'S, Premium Crispy Chicken Club Sandwich",100 g,250,15.38 g,22.61 g,12g
"Seeds, dried (decorticated), sesame seed kernels",100 g,631,20.45 g,11.73 g,61g
"Salad dressing, reduced calorie, french dressing",100 g,227,0.40 g,27.00 g,13g
"Rice and vermicelli mix, unprepared, beef flavor",100 g,359,10.84 g,76.02 g,1.3g
"Fish, drained solids, canned in oil, light, tuna",100 g,198,29.13 g,0.00 g,8.2g
"PIZZA HUT 14"" Cheese Pizza, THIN 'N CRISPY Crust",100 g,306,13.37 g,34.22 g,13g
"Soup, canned, HEALTHY CHOICE Chicken Noodle Soup",100 g,41,3.69 g,5.20 g,0.6g
"Cereals, dry, quick, white, hominy grits, QUAKER",100 g,348,8.80 g,79.60 g,1.2g
"Babyfood, prepared with whole milk, rice, cereal",100 g,85,3.45 g,10.31 g,3.4g
"Cabbage, with salt, drained, boiled, cooked, red",100 g,29,1.51 g,6.94 g,0.1g
"Cereals ready-to-eat, SWEET CRUNCH/QUISP, QUAKER",100 g,406,4.51 g,85.03 g,6.1g
"Beverages, Strawberry Banana, V8 V-FUSION Juices",100 g,49,0.41 g,11.79 g,0g
"Turkey, raw, meat and skin, breast, retail parts",100 g,155,21.88 g,0.00 g,7.5g
"School Lunch, whole grain breaded, chicken patty",100 g,246,17.64 g,12.50 g,14g
"Sea lion, meat with fat (Alaska Native), Steller",100 g,242,22.10 g,5.55 g,15g
"Fish, dry heat, cooked, mixed species, sea bass",100 g,124,23.63 g,0.00 g,2.6g
"English muffins, mixed-grain (includes granola)",100 g,235,9.10 g,46.30 g,1.8g
"Chicken, roasted, meat only, broilers or fryers",100 g,190,28.93 g,0.00 g,7.4g
"Fish, raw (not previously frozen), Pacific, cod",100 g,72,17.54 g,0.00 g,0.2g
"Broccoli, without salt, drained, boiled, cooked",100 g,35,2.38 g,7.18 g,0.4g
"Turkey, raw, meat only, drumstick, retail parts",100 g,118,20.52 g,0.00 g,4g
"Succotash, unprepared, frozen, (corn and limas)",100 g,93,4.31 g,19.94 g,0.9g
"Beet greens, with salt, drained, boiled, cooked",100 g,27,2.57 g,5.46 g,0.2g
"Fruit juice smoothie, MIGHTY MANGO, NAKED JUICE",100 g,63,0.42 g,15.00 g,0g
"HEINZ, frozen, Chocolate Eclair, WEIGHT WATCHER",100 g,241,4.40 g,40.30 g,6.9g
"Babyfood, strained, vegetables and lamb, dinner",100 g,52,2.00 g,6.90 g,2g
"Cookies, with lemon juice and rind, ladyfingers",100 g,365,10.60 g,59.70 g,9.1g
"Beef, raw, lungs, variety meats and by-products",100 g,92,16.20 g,0.00 g,2.5g
"Cereals, dry, QUAKER MultiGrain Oatmeal, QUAKER",100 g,334,12.64 g,72.62 g,2.7g
"Sauce, reduced sodium, ready-to-serve, teriyaki",100 g,89,5.93 g,15.58 g,0g
"Celeriac, without salt, drained, boiled, cooked",100 g,27,0.96 g,5.90 g,0.2g
"Sausage, reduced sodium, and beef, turkey, pork",100 g,284,10.71 g,0.11 g,27g
"Beverages, bottled, cranberry-apple juice drink",100 g,63,0.00 g,15.85 g,0.1g
"Lupins, with salt, boiled, cooked, mature seeds",100 g,116,15.57 g,9.29 g,2.9g
"Snacks, unsalted, plain, brown rice, rice cakes",100 g,387,8.20 g,81.50 g,2.8g
"Candies, prepared-from-recipe, chocolate, fudge",100 g,411,2.39 g,76.44 g,10g
CAMPBELL'S Homestyle Italian-Style Wedding Soup,100 g,49,2.86 g,6.12 g,1.4g
"Sweeteners, packets, EQUAL, aspartame, tabletop",100 g,365,2.17 g,89.08 g,0g
"Rice, enriched, raw, regular, long-grain, white",100 g,365,7.13 g,79.95 g,0.7g
"Lamb, raw, heart, variety meats and by-products",100 g,122,16.47 g,0.21 g,5.7g
"Veal, raw, heart, variety meats and by-products",100 g,110,17.18 g,0.08 g,4g
"Lamb, raw, liver, variety meats and by-products",100 g,139,20.38 g,1.78 g,5g
"Nuts, toasted, dried (desiccated), coconut meat",100 g,592,5.30 g,44.40 g,47g
"Fast foods, with crispy chicken fillet, biscuit",100 g,300,11.93 g,30.56 g,15g
"POPEYES, Skin and Breading, Mild, Fried Chicken",100 g,433,13.96 g,21.54 g,32g
"Pasta, cooked, corn and rice flour, gluten-free",100 g,179,3.20 g,38.05 g,1g
"McDONALD'S, FILET-O-FISH (without tartar sauce)",100 g,243,12.47 g,31.08 g,7.6g
"Soup, condensed, canned, bean with frankfurters",100 g,142,7.60 g,16.75 g,5.3g
"Chicken, roasted, cooked, meat and skin, capons",100 g,229,28.96 g,0.00 g,12g
"Tomato products, with salt added, puree, canned",100 g,38,1.65 g,8.98 g,0.2g
"Lemon juice from concentrate, canned or bottled",100 g,17,0.45 g,5.62 g,0.1g
"Potatoes, unprepared, plain, frozen, hash brown",100 g,82,2.06 g,17.72 g,0.6g
"CAMPBELL'S CHUNKY Soups, Split Pea 'N' Ham Soup",100 g,78,4.90 g,12.24 g,1g
"Babyfood, junior, vegetables and turkey, dinner",100 g,53,1.72 g,7.55 g,1.7g
"Babyfood, strained, macaroni and cheese, dinner",100 g,67,3.14 g,8.95 g,2.1g
"Babyfood, junior, applesauce with banana, fruit",100 g,66,0.37 g,16.16 g,0.1g
"Nuts, creamed, dried (desiccated), coconut meat",100 g,684,5.30 g,21.52 g,69g
"Cereals ready-to-eat, KASHI 7 Whole Grain Puffs",100 g,336,13.00 g,78.60 g,2.3g
"Eggplant, without salt, drained, boiled, cooked",100 g,35,0.83 g,8.73 g,0.2g
"KELLOGG'S, Pumpkin Spice, Waffles, EGGO Seasons",100 g,296,5.50 g,41.40 g,12g
"KELLOGG'S, Original, Waffles, NUTRI-GRAIN, EGGO",100 g,239,6.60 g,37.60 g,8.3g
"Babyfood, strained, bananas with tapioca, fruit",100 g,56,0.40 g,15.30 g,0.1g
"Veal, braised, cooked, separable lean only, rib",100 g,218,34.44 g,0.00 g,7.8g
"Veal, roasted, cooked, separable lean only, rib",100 g,177,25.76 g,0.00 g,7.4g
"Purslane, without salt, drained, boiled, cooked",100 g,18,1.49 g,3.55 g,0.2g
"Rennin, prepared with 2% milk, dry mix, vanilla",100 g,77,3.06 g,12.34 g,1.8g
"Yogurt, DANNON OIKOS, strawberry, nonfat, Greek",100 g,84,8.03 g,12.53 g,0.2g
"Cookies, chocolate cream covered biscuit sticks",100 g,447,10.00 g,51.08 g,23g
"Crustaceans, raw, wild, mixed species, crayfish",100 g,77,15.97 g,0.00 g,1g
"Squash, with salt, baked, cooked, acorn, winter",100 g,56,1.12 g,14.58 g,0.1g
"KASHI Pesto Pasta Primavera, unprepared, frozen",100 g,101,3.80 g,13.00 g,3.8g
"Candies, CRUNCH Bar and Dessert Topping, NESTLE",100 g,500,5.00 g,67.00 g,26g
"Veal, raw, separable lean only, leg (top round)",100 g,107,21.28 g,0.00 g,1.8g
"Beef, raw, brain, variety meats and by-products",100 g,143,10.86 g,1.05 g,10g
"Squash, raw, crookneck and straightneck, summer",100 g,19,1.01 g,3.88 g,0.3g
"Seeds, partially defatted, sunflower seed flour",100 g,326,48.06 g,35.83 g,1.6g
"Seaweed, dry, Canadian Cultivated EMI-TSUNOMATA",100 g,259,15.34 g,46.24 g,1.4g
"Cocoa mix, Rich Chocolate Hot Cocoa Mix, NESTLE",100 g,400,3.00 g,75.00 g,15g
"Milk dessert bar, made from lowfat milk, frozen",100 g,147,4.41 g,33.09 g,1.5g
"Fish, dry heat, cooked, mixed species, sturgeon",100 g,135,20.70 g,0.00 g,5.2g
"Seeds, roasted and toasted, whole, sesame seeds",100 g,565,16.96 g,25.74 g,48g
"Candies, DOVE Dark Chocolate, MARS SNACKFOOD US",100 g,520,5.19 g,59.40 g,32g
"Candies, DOVE Milk Chocolate, MARS SNACKFOOD US",100 g,546,5.94 g,59.78 g,32g
"Chicken, simmered, cooked, all classes, gizzard",100 g,154,30.39 g,0.00 g,2.7g
"Parsnips, without salt, drained, boiled, cooked",100 g,71,1.32 g,17.01 g,0.3g
"Beans, with pork and sweet sauce, canned, baked",100 g,105,4.52 g,21.57 g,0.9g
"Babyfood, strained, vegetables and beef, dinner",100 g,77,2.21 g,8.84 g,3.6g
"Turkey, raw, meat only, from whole bird, breast",100 g,114,23.66 g,0.14 g,1.5g
"Turkey, raw, meat and skin, thigh, retail parts",100 g,161,19.54 g,0.00 g,9.2g
"Margarine-like spread, SMART BEAT Smart Squeeze",100 g,47,0.00 g,7.10 g,2.1g
"Snacks, all flavors, DIPPS, QUAKER, granola bar",100 g,480,7.52 g,64.96 g,20g
"CAMPBELL'S Soup on the Go, Creamy Broccoli Soup",100 g,52,0.66 g,4.26 g,3.6g
"CAMPBELL'S Soup on the Go, Chicken & Stars Soup",100 g,23,0.98 g,3.28 g,0.5g
"Collards, without salt, drained, boiled, cooked",100 g,33,2.71 g,5.65 g,0.7g
"Cereals, with salt, cooked with water, WHEATENA",100 g,59,2.03 g,11.74 g,0.5g
"Babyfood, mixed fruit juice with low fat yogurt",100 g,76,2.40 g,14.68 g,0.8g
"Peaches, solids and liquids, water pack, canned",100 g,24,0.44 g,6.11 g,0.1g
"Peaches, solids and liquids, juice pack, canned",100 g,44,0.63 g,11.57 g,0g
"Chicken, raw, meat and skin, broilers or fryers",100 g,215,18.60 g,0.00 g,15g
"Cauliflower, with salt, drained, boiled, cooked",100 g,23,1.84 g,4.11 g,0.5g
"Crackers, with whole wheat, standard snack-type",100 g,463,7.29 g,68.37 g,18g
"Caribou, raw (Alaska Native), hind quarter meat",100 g,122,22.63 g,0.00 g,3.4g
"Beets, solids and liquids, regular pack, canned",100 g,30,0.73 g,7.14 g,0.1g
"Beverages, Fruit Medley, V8 SPLASH Juice Drinks",100 g,33,0.00 g,7.82 g,0g
"Tomatoes, with green chilies, canned, ripe, red",100 g,15,0.69 g,3.62 g,0.1g
"KEEBLER, Original Crackers, TOPPERS, TOWN HOUSE",100 g,483,7.60 g,66.80 g,21g
"Chicken, raw, separable fat, broilers or fryers",100 g,629,3.73 g,0.00 g,68g
"Blueberries, drained, heavy syrup, canned, wild",100 g,107,0.56 g,28.32 g,0.3g
"Lamb, raw, lungs, variety meats and by-products",100 g,95,16.70 g,0.00 g,2.6g
"Veal, raw, lungs, variety meats and by-products",100 g,90,16.30 g,0.00 g,2.3g
"Veal, raw, liver, variety meats and by-products",100 g,140,19.93 g,2.91 g,4.9g
"Cereals ready-to-eat, HONEY GRAHAM OH!S, QUAKER",100 g,412,3.92 g,83.65 g,7.6g
"Plums, with added sugar, stewed, dried (prunes)",100 g,124,1.09 g,32.88 g,0.2g
"Fish, dry heat, cooked, mixed species, seatrout",100 g,133,21.46 g,0.00 g,4.6g
"Candies, SNICKERS Almond bar, MARS SNACKFOOD US",100 g,472,5.40 g,64.67 g,22g
"Turkey, smoked, low fat, and beef sausage, pork",100 g,101,8.00 g,11.54 g,2.5g
"Oil, 80% diglycerides, ENOVA, cooking and salad",100 g,884,0.00 g,0.00 g,100g
"Goose, roasted, cooked, meat only, domesticated",100 g,238,28.97 g,0.00 g,13g
"Beverages, KELLOGG'S SPECIAL K20 protein powder",100 g,380,35.20 g,58.40 g,0.6g
"Lamb, raw, brain, variety meats and by-products",100 g,122,10.40 g,0.00 g,8.6g
"Veal, raw, brain, variety meats and by-products",100 g,118,10.32 g,0.00 g,8.2g
"McDONALD'S, NEWMAN'S OWN Creamy Caesar Dressing",100 g,319,3.56 g,6.85 g,32g
"Peppers, solids and liquids, canned, red, sweet",100 g,18,0.80 g,3.90 g,0.3g
"Fish, raw, flatfish (flounder and sole species)",100 g,70,12.41 g,0.00 g,1.9g
"Beverages, Tropical Colada, V8 SPLASH Smoothies",100 g,41,1.22 g,8.54 g,0g
"Egg custards, prepared with whole milk, dry mix",100 g,122,3.99 g,17.60 g,4g
"Soup, reduced sodium, condensed, canned, tomato",100 g,65,1.61 g,13.41 g,0.6g
"Cereals ready-to-eat, Wheat CHEX, GENERAL MILLS",100 g,345,9.80 g,82.20 g,1.8g
"Steelhead trout, canned (Alaska Native), boiled",100 g,159,21.11 g,0.00 g,8.3g
"Thuringer, pork, beef, summer sausage, cervelat",100 g,362,17.45 g,3.33 g,30g
"Alcoholic beverage, higher alcohol, light, beer",100 g,46,0.25 g,0.77 g,0g
"Beverages, bottled, cranberry-grape juice drink",100 g,56,0.20 g,14.00 g,0.1g
"Cereals ready-to-eat, GOLDEN PUFFS, MALT-O-MEAL",100 g,370,5.77 g,89.72 g,0.9g
"Chicken, stewed, cooked, meat and skin, stewing",100 g,285,26.88 g,0.00 g,19g
"Elk, raw (Shoshone Bannock), ground, free range",100 g,97,20.14 g,0.00 g,1.8g
"Alcoholic Beverage, Carignane, red, table, wine",100 g,74,0.07 g,2.40 g,0g
"Alcoholic Beverage, Lemberger, red, table, wine",100 g,80,0.07 g,2.46 g,0g
"Alcoholic Beverage, Zinfandel, red, table, wine",100 g,88,0.07 g,2.86 g,0g
"SPAGHETTIOS, Spaghetti in Tomato & Cheese Sauce",100 g,80,2.78 g,15.87 g,0.6g
"Sweeteners, brown, granulated, sugar substitute",100 g,347,2.06 g,84.77 g,0g
"Beef, raw, ribs prepared, imported, New Zealand",100 g,146,21.31 g,0.00 g,6.8g
"UDI'S, Classic French Dinner Rolls, Gluten Free",100 g,310,7.99 g,55.10 g,6.4g
"Beef, raw, tripe, variety meats and by-products",100 g,85,12.07 g,0.00 g,3.7g
"Oil, fully hydrogenated, cottonseed, industrial",100 g,884,0.00 g,0.00 g,100g
"Waffle, microwave, ready-to-heat, frozen, plain",100 g,298,6.71 g,45.41 g,9.9g
"KEEBLER, Chocolate Lovers Cookies, CHIPS DELUXE",100 g,508,5.50 g,63.00 g,27g
"Babyfood, strained, apricot with tapioca, fruit",100 g,60,0.30 g,16.30 g,0g
"ARCHWAY Home Style Cookies, Date Filled Oatmeal",100 g,400,4.67 g,68.16 g,12g
"Sweet potato leaves, with salt, steamed, cooked",100 g,35,2.18 g,7.38 g,0.3g
"PAPA JOHN'S 14"" The Works Pizza, Original Crust",100 g,240,10.27 g,26.69 g,10g
"Beef, raw, heart, variety meats and by-products",100 g,112,17.72 g,0.14 g,3.9g
"Beef, raw, liver, variety meats and by-products",100 g,135,20.36 g,3.89 g,3.6g
"Noodles, with added salt, enriched, cooked, egg",100 g,138,4.54 g,25.16 g,2.1g
"Mollusks, fried, cooked, mixed species, abalone",100 g,189,19.63 g,11.05 g,6.8g
"Peas, with salt, drained, boiled, cooked, green",100 g,84,5.36 g,15.63 g,0.2g
"CAMPBELL'S CHUNKY Soups, Manhattan Clam Chowder",100 g,52,2.04 g,7.76 g,1.4g
"PAPA JOHN'S 14"" Pepperoni Pizza, Original Crust",100 g,275,11.97 g,30.04 g,12g
"Waffles, toasted, ready -to-heat, frozen, plain",100 g,312,7.19 g,49.29 g,9.6g
"Kohlrabi, without salt, drained, boiled, cooked",100 g,29,1.80 g,6.69 g,0.1g
"Potatoes, no salt added, drained solids, canned",100 g,62,1.40 g,13.60 g,0.2g
"Bread, pan de torta salvadoran, pound cake type",100 g,390,7.06 g,51.29 g,17g
"Nuts, with salt added, dry roasted, cashew nuts",100 g,574,15.31 g,32.69 g,46g
"Nuts, with salt added, oil roasted, cashew nuts",100 g,581,16.84 g,30.16 g,48g
"Squash, canned, italian style, zucchini, summer",100 g,29,1.03 g,6.85 g,0.1g
"Fish, fermented (Alaska Native), tipnuk, salmon",100 g,159,15.90 g,0.00 g,11g
"Milk dessert, chocolate, milk-fat free, frozen",100 g,167,4.30 g,37.70 g,1g
"Cake, dry mix, unenriched, white, pudding-type",100 g,423,3.90 g,81.00 g,9.5g
"Chicken, stewed, meat only, broilers or fryers",100 g,177,27.29 g,0.00 g,6.7g
"Nuts, without salt added, plain, almond butter",100 g,614,20.96 g,18.82 g,56g
"Salad dressing, soybean, imitation, mayonnaise",100 g,232,0.30 g,16.00 g,19g
"Fish, dry heat, cooked, farmed, rainbow, trout",100 g,168,23.80 g,0.00 g,7.4g
"Cereals ready-to-eat, Corn CHEX, GENERAL MILLS",100 g,370,6.40 g,85.00 g,2.4g
"Ice creams, vanilla, low carbohydrate, regular",100 g,216,3.17 g,22.23 g,13g
"Chicken breast, sliced, fat-free, oven-roasted",100 g,79,16.79 g,2.17 g,0.4g
"Soup, single brand, condensed, bean with bacon",100 g,117,6.50 g,18.00 g,2.1g
"Fish, dry heat, cooked, fresh, yellowfin, tuna",100 g,130,29.15 g,0.00 g,0.6g
"INTERSTATE BRANDS CORP, WONDER Hamburger Rolls",100 g,273,8.07 g,50.84 g,4.2g
"Babyfood, strained, vegetables and ham, dinner",100 g,59,2.19 g,7.80 g,2.1g
"Salad Dressing, reduced fat, coleslaw dressing",100 g,329,0.00 g,40.00 g,20g
"Peach nectar, with added ascorbic acid, canned",100 g,54,0.27 g,13.92 g,0g
"Beans, low sodium, canned, mature seeds, black",100 g,91,6.03 g,16.55 g,0.3g
"Fish, dry heat, cooked, wild, Atlantic, salmon",100 g,182,25.44 g,0.00 g,8.1g
"Syrups, reduced-calorie, pancake, table blends",100 g,165,0.00 g,44.55 g,0g
"Fish, solids and liquid, canned, Atlantic, cod",100 g,105,22.76 g,0.00 g,0.9g
"Alcoholic beverage, 80 proof, vodka, distilled",100 g,231,0.00 g,0.00 g,0g
"Soup, condensed, low sodium, canned, vegetable",100 g,65,2.20 g,12.11 g,0.9g
"Sauce, canned, mature red, chili, hot, peppers",100 g,21,0.90 g,3.90 g,0.6g
"KASHI Pizza, unprepared, frozen, Mediterranean",100 g,231,12.70 g,31.00 g,7.5g
"Turkey, simmered, cooked, all classes, gizzard",100 g,155,26.45 g,0.00 g,4.6g
"Fish, dry heat, cooked, mixed species, grouper",100 g,118,24.84 g,0.00 g,1.3g
"ARCHWAY Home Style Cookies, Sugar Free Oatmeal",100 g,442,5.54 g,67.20 g,21g
"Chicken, raw, meat and skin, cornish game hens",100 g,200,17.15 g,0.00 g,14g
"WENDY'S, with cheese, CLASSIC SINGLE Hamburger",100 g,221,14.87 g,14.20 g,12g
"Candies, SNICKERS MUNCH bar, MARS SNACKFOOD US",100 g,536,15.25 g,43.64 g,36g
"Sauce, CHA! BY TEXAS PETE, sriracha, hot chile",100 g,108,2.02 g,22.73 g,1g
"McDONALD'S, Vanilla Reduced Fat Ice Cream Cone",100 g,162,4.24 g,26.36 g,4.9g
"BURGER KING, CROISSAN'WICH with Egg and Cheese",100 g,283,10.35 g,24.79 g,16g
"Candies, peanut butter, confectioner's coating",100 g,529,18.30 g,46.88 g,30g
"Potatoes, home-prepared with butter, scalloped",100 g,88,2.87 g,10.78 g,3.7g
"GEORGE WESTON BAKERIES, Thomas English Muffins",100 g,232,8.00 g,46.00 g,1.8g
"Babyfood, junior, banana and strawberry, fruit",100 g,109,0.71 g,25.78 g,0.4g
"Vegetable juice, DAILY GREENS, BOLTHOUSE FARMS",100 g,31,0.49 g,8.13 g,0g
"Babyfood, strained, apple and blueberry, fruit",100 g,61,0.20 g,16.30 g,0.2g
"Beverages, ready-to-drink, ENSURE PLUS, ABBOTT",100 g,141,5.16 g,19.88 g,4.5g
"Dip, cheese and salsa- medium, salsa con queso",100 g,143,3.14 g,11.14 g,9.5g
"KEEBLER, Original, Snack Sticks, CLUB Crackers",100 g,475,6.00 g,65.00 g,22g
"Chicken, pan-fried, cooked, all classes, liver",100 g,172,25.78 g,1.11 g,6.4g
"McDONALD'S, DOUBLE QUARTER POUNDER with Cheese",100 g,262,16.96 g,14.43 g,16g
"KELLOGG'S, Low Fat, Waffles, NUTRI-GRAIN, EGGO",100 g,201,6.50 g,39.00 g,3.5g
"Lemon juice from concentrate, CONCORD, bottled",100 g,24,0.40 g,5.37 g,0.1g
"Corn, microwaved, frozen, whole kernel, yellow",100 g,131,3.62 g,25.87 g,1.4g
"Soup, ready-to-serve, canned, chunky vegetable",100 g,39,1.14 g,7.90 g,0.4g
"Pumpkin, without salt, drained, boiled, cooked",100 g,20,0.72 g,4.90 g,0.1g
"Alcoholic Beverage, Burgundy, red, table, wine",100 g,86,0.07 g,3.69 g,0g
"Alcoholic Beverage, Mouvedre, red, table, wine",100 g,88,0.07 g,2.64 g,0g
"Beef, raw, suet, variety meats and by-products",100 g,854,1.50 g,0.00 g,94g
"Sesbania flower, without salt, steamed, cooked",100 g,22,1.14 g,5.23 g,0.1g
"Nuts, without salt added, oil roasted, almonds",100 g,607,21.23 g,17.68 g,55g
"Nuts, without salt added, dry roasted, almonds",100 g,598,20.96 g,21.01 g,53g
"Beverages, powder, chocolate, malted drink mix",100 g,411,5.10 g,86.94 g,4.8g
"Cereals ready-to-eat, Crispy Rice, MALT-O-MEAL",100 g,346,6.07 g,86.40 g,1.1g
"Milk, reduced fat, cultured, fluid, buttermilk",100 g,56,4.10 g,5.30 g,2g
"Soybeans, no salt added, roasted, mature seeds",100 g,469,38.55 g,30.22 g,25g
"Beef, broiled, cooked, frozen, patties, ground",100 g,295,23.05 g,0.00 g,22g
"Yogurt parfait, with fruit and granola, lowfat",100 g,84,3.36 g,15.86 g,1g
"Carrots, without salt, drained, boiled, cooked",100 g,35,0.76 g,8.22 g,0.2g
"Cardoon, without salt, drained, boiled, cooked",100 g,22,0.76 g,5.33 g,0.1g
"Fish, dry heat, cooked, mixed species, snapper",100 g,128,26.30 g,0.00 g,1.7g
"Seeds, partially defatted, safflower seed meal",100 g,342,35.62 g,48.73 g,2.4g
"Pie Crust, Ready Crust, Chocolate, Cookie-type",100 g,484,6.08 g,64.48 g,22g
"Frozen novelties, juice with cream, juice type",100 g,115,1.41 g,24.11 g,1.4g
"Cereals ready-to-eat, Rice CHEX, GENERAL MILLS",100 g,375,6.40 g,85.09 g,1.9g
"CAMPBELL'S Soup on the Go, Classic Tomato Soup",100 g,46,0.98 g,10.16 g,0.2g
"Rice mix, unprepared, flavored, white and wild",100 g,355,10.53 g,76.14 g,0.9g
"Tomato products, with mushrooms, sauce, canned",100 g,35,1.45 g,8.43 g,0.1g
"Caribou, half dried (Alaska Native), rump meat",100 g,255,52.06 g,0.00 g,5.2g
"Fish, total can contents, canned, pink, salmon",100 g,129,19.68 g,0.00 g,5g
"Beverages, Berry Blend, V8 SPLASH Juice Drinks",100 g,29,0.00 g,7.41 g,0g
"Beverages, Mango Peach, V8 SPLASH Juice Drinks",100 g,33,0.00 g,8.23 g,0g
"Doughnuts, sugared or glazed, plain, cake-type",100 g,426,5.20 g,50.80 g,23g
"Cereals ready-to-eat, Apple ZINGS, MALT-O-MEAL",100 g,390,4.51 g,87.30 g,2.7g
"Fish, dry heat, cooked, wild, channel, catfish",100 g,105,18.47 g,0.00 g,2.9g
"Cereals ready-to-eat, Christmas Crunch, QUAKER",100 g,397,4.44 g,85.92 g,4.8g
"Oopah (tunicate), whole animal (Alaska Native)",100 g,67,11.70 g,0.00 g,2.2g
"Sausage, smoked, skinless, pork, beef, chicken",100 g,216,13.60 g,8.10 g,14g
"Bratwurst, smoked, lite, beef and turkey, pork",100 g,186,14.45 g,1.62 g,14g
"Crackers, with cheese filling, sandwich, wheat",100 g,497,9.80 g,58.20 g,25g
"Guava nectar, with added ascorbic acid, canned",100 g,63,0.09 g,16.25 g,0.1g
"Babyfood, strained, apples and chicken, dinner",100 g,65,2.16 g,10.88 g,1.4g
"Babyfood, junior, broccoli and chicken, dinner",100 g,62,3.59 g,6.34 g,2.5g
"Nuts, without salt added, plain, cashew butter",100 g,587,17.56 g,27.57 g,49g
"MORNINGSTAR FARMS Corn Dog, unprepared, frozen",100 g,208,11.20 g,36.00 g,3.5g
"Duck, roasted, cooked, meat only, domesticated",100 g,201,23.48 g,0.00 g,11g
"Frankfurter, grilled, cooked, meat and poultry",100 g,302,10.67 g,5.24 g,26g
"KASHI, Roasted Garlic, H2H Woven Wheat Cracker",100 g,440,10.50 g,73.20 g,12g
"Prairie Turnips, raw (Northern Plains Indians)",100 g,156,2.62 g,35.67 g,0.4g
"Seasoning mix, coriander & annatto, sazon, dry",100 g,0,0.00 g,0.00 g,0g
"Babyfood, strained, vegetables chicken, dinner",100 g,59,2.47 g,8.42 g,1.7g
"Cereals ready-to-eat, Honey KIX, GENERAL MILLS",100 g,364,6.40 g,83.00 g,3.9g
"Turkey, raw, (light and dark), skin from whole",100 g,407,12.96 g,0.16 g,39g
"Cereals ready-to-eat, BOO BERRY, GENERAL MILLS",100 g,386,5.50 g,85.40 g,4.3g
"Gelatin desserts, prepared with water, dry mix",100 g,62,1.22 g,14.19 g,0g
"Cereals ready-to-eat, CORN BURSTS, MALT-O-MEAL",100 g,385,3.32 g,90.59 g,0.4g
"Ice creams, All Natural Light Vanilla, BREYERS",100 g,162,4.84 g,25.30 g,4.6g
"Cereals ready-to-eat, KELLOGG'S CINNAMON JACKS",100 g,397,5.90 g,83.00 g,7.8g
"T.G.I. FRIDAY'S, classic sirloin steak (10 oz)",100 g,196,31.02 g,0.47 g,7.8g
"Syrups, and sugar, refiner, corn, table blends",100 g,319,0.00 g,83.90 g,0g
